FIPS,State,County,perc_Fair_or_Poor_Health,perc_Smokers,perc_Adults_with_Obesity,per_Physically_Inactive,perc_With_Access_to_Exercise_Opportunities,perc_Excessive_Drinking,High_School_Graduation_Rate,perc_Some_College,perc_Children_in_Poverty,perc_Severe_Housing_Problems,perc_Drive_Alone_to_Work,perc_Long_Commute___Drives_Alone,Life_Expectancy,perc_Frequent_Physical_Distress,perc_Limited_Access_to_Healthy_Foods,Median_Household_Income,perc_Homeowners,perc_Severe_Housing_Cost_Burden,Population,perc_Black,perc_American_Indian___Alaska_Native,perc_Asian,perc_Native_Hawaiian_Other_Pacific_Islander,perc_Hispanic,perc_Non_Hispanic_White,perc_Female,perc_Rural
09000,Connecticut,NA,13.80070984,12.73098058,25.8,20.4,94.01927256,17.11073048,87.97176025,68.90460057,13.8,18.14182319,78.16935697,33.7,80.9,10,4,76366,66,17,3572665,364858,19943,173799,3840,589809,2376351,51.2,429155
09001,Connecticut,Fairfield,10.59603022,10.15789601,21.3,17.7,96.81074661,19.40118911,90.40864062,70.87204895,12.7,21.31499657,72.2749918,35.4,82.7,8,3,91183,67,20,943823,103579,4887,54887,1019,190436,580580,51.3,42028
09003,Connecticut,Hartford,13.04421594,11.35624802,26.2,21.6,96.84132463,15.66000421,83.81509013,69.47766502,15.5,16.84307542,81.10922372,29.4,80.3,9,4,73037,64,16,892697,118190,5043,52233,1100,164732,541169,51.4,48354
09005,Connecticut,Litchfield,10.67878186,12.06314117,27.7,20.8,82.93028374,17.63499124,88.8381877,68.07072421,8.1,14.69599139,83.87012225,39.8,80.4,8,3,76304,77,14,181111,2957,599,3718,129,12180,159502,50.6,78722
09007,Connecticut,Middlesex,10.37722437,11.31644061,25.5,19.4,96.76054468,19.08250645,96.33856784,76.18665412,8.1,14.02241781,81.61070604,40.5,81.1,9,5,88709,74,14,162682,7781,449,5132,108,10462,136198,51.3,40657
09009,Connecticut,New Haven,14.44271145,12.84395197,28.1,21.7,95.4136748,18.55410878,85.84305271,65.83740291,16.7,20.13262478,78.11729225,33,80.1,10,5,67720,62,18,857620,110014,4597,36950,895,159804,534633,51.8,31394
09011,Connecticut,New London,11.54628191,12.35083973,29.6,20.9,92.07093467,17.84605154,89.08543135,66.48531685,12.5,15.01836677,79.78010464,28.6,79.9,9,7,67790,67,14,266784,15245,3145,11698,380,29186,200817,49.9,70729
09013,Connecticut,Tolland,10.47040495,10.54348999,24.9,19.1,76.60569385,19.0501883,91.42347561,75.37780588,6.4,12.60650481,79.93497445,43.5,81.6,9,8,89584,72,13,150921,4921,404,7440,116,8633,127222,49.9,58340
09015,Connecticut,Windham,13.38518756,14.35695184,30.3,23,81.85901983,17.23257416,82.62757386,62.00147581,14.8,15.89471306,83.01896733,38.5,78.7,10,5,65182,70,13,117027,2171,819,1741,93,14376,96230,50.5,58931
23000,Maine,NA,14.99146241,17.30342833,29.9,21.6,69.96659794,20.21985275,86.66897754,67.81046334,14.8,15.00154234,78.46989639,32.7,78.7,12,4,55579,72,13,1338404,20708,9657,16674,455,22850,1246689,51,814819
23001,Maine,Androscoggin,13.44885544,16.44920619,33.9,24.7,84.18042376,19.86295898,81.22633254,66.61271053,17.3,14.82847246,79.32103461,33.2,77.6,11,4,49935,64,12,107679,4506,464,944,42,2134,97327,51.1,46707
23003,Maine,Aroostook,17.49279448,18.59272146,35.9,31.2,55.63378322,15.31152568,90.18606225,65.29888551,19.1,13.66834171,79.66205837,19.4,78,12,5,39450,72,12,67111,695,1297,314,26,887,63050,50.6,57687
23005,Maine,Cumberland,9.004808874,11.3915224,23.3,15.9,83.84408927,22.81849942,88.25068446,77.79574675,8,15.52557903,76.4728173,30.2,80.2,9,5,71586,69,13,293557,8874,1051,6683,99,6284,265239,51.5,101680
23007,Maine,Franklin,14.0570048,16.19735643,34.1,23.3,46.76612065,19.89570048,90.18292683,64.15701416,20.4,13.17928969,76.67377399,36.6,78.1,11,1,49561,79,9,29897,163,142,144,14,396,28612,50.9,25537
23009,Maine,Hancock,12.96677119,14.39473471,24.9,18.3,69.5119262,20.92241723,88.02158273,63.86698663,15.9,16.27368421,72.56969744,34.5,80,11,2,52148,75,13,54811,467,260,685,12,837,51877,51.6,49038
23011,Maine,Kennebec,12.4856462,16.46310733,33.5,23.1,76.52577548,19.15456187,83.15217391,66.45468998,15,14.44029117,79.89154915,32.3,78.2,11,3,52154,71,12,122083,850,660,1137,46,1938,115440,51.2,76748
23013,Maine,Knox,11.17356336,13.69764642,27.2,18.6,44.81326757,20.54428676,90.77146172,61.22019635,16.1,15.81920904,77.65317566,18,79.1,9,5,56678,77,13,39771,295,185,255,12,594,37832,50.7,26993
23015,Maine,Lincoln,11.14804081,14.52458874,24.5,19.4,56.6764373,18.22099166,NA,58.11978546,16.8,14.94673768,75.76062359,34.3,79.5,10,1,56211,78,13,34342,194,129,290,6,427,32897,50.9,34457
23017,Maine,Oxford,13.64768876,18.03092353,33.2,26.2,40.95585565,18.94845455,83.53134796,52.37785016,26.3,15.94692401,80.78698178,42.7,77.8,11,2,44243,81,12,57618,340,287,445,19,829,54833,50.5,48066
23019,Maine,Penobscot,15.21209102,16.85807633,33.7,23.5,63.41222559,20.13641643,87.73743557,67.32585358,17.1,14.92271587,79.38675274,26.1,77.6,12,5,47840,70,13,151096,1369,1927,1702,49,2115,141518,50.5,88737
23021,Maine,Piscataquis,15.24438697,18.90087176,36.6,25.1,48.04676362,17.75719084,NA,53.24469769,23.8,14.332893,78.1300813,31.5,76.6,12,2,40066,76,12,16800,84,129,141,8,249,15981,50.1,17535
23023,Maine,Sagadahoc,11.75255415,13.59092194,25.1,18.5,81.42407843,20.9112097,85.23480663,66.19194252,13,14.21709894,79.50837743,32.8,79.6,10,3,65969,76,13,35634,305,167,317,10,653,33661,51.4,21767
23025,Maine,Somerset,15.73655733,19.09450339,33.9,26,59.47576013,18.35902995,86.14349376,56.65304672,21.1,16.28070175,81.7799383,33.7,76.2,12,7,43755,76,14,50592,278,289,368,18,565,48344,50.3,42031
23027,Maine,Waldo,15.062473,17.5107616,30.7,20.7,49.99742175,18.57805483,84.79323308,64.63092642,20.2,14.80380499,77.12891375,39.4,79.1,12,3,49482,80,11,39694,226,197,281,16,595,37847,50.8,35428
23029,Maine,Washington,17.62785565,18.22978957,32.6,26.7,51.95702459,18.51910991,NA,52.48328558,26.8,13.50870956,73.45416633,27.2,75.9,13,5,39522,76,12,31490,188,1702,158,11,762,28166,50.6,30352
23031,Maine,York,12.72386155,14.03691369,30.2,21.7,77.91012068,21.20413554,88.03747485,69.25950294,10.5,14.90495217,81.01797827,41.9,79.2,10,3,65984,74,13,206229,1874,771,2810,67,3585,194065,51.2,112056
25000,Massachusetts,NA,14.39870091,13.66761859,24.7,21.3,94.46567605,21.34634262,88.3,73.12244349,12.4,17.74304484,70.22592561,43.3,80.5,10,4,79817,62,16,6902149,500276,34112,492508,7417,847223,4928183,51.5,525640
25001,Massachusetts,Barnstable,10.04082735,11.85390632,21.4,18.2,91.57804047,20.40709087,91.74158607,66.46798591,9.9,17.32379438,80.43215885,26.6,79.6,9,10,69001,80,16,213413,6631,1625,3444,138,6834,191570,52.2,16155
25003,Massachusetts,Berkshire,13.2075844,13.78295409,25.7,19.9,85.32605796,19.30914609,87.57268623,64.02655201,15.9,15.88733935,77.48529202,23.5,78.9,11,6,58375,69,14,126348,3947,405,2165,64,6402,110955,51.6,41457
25005,Massachusetts,Bristol,14.34273831,15.01321279,29.1,26.8,95.48628907,20.95127923,88.224443,63.16981727,14.3,17.01693005,81.41649323,38.7,78.6,11,5,66005,62,15,564022,25919,3541,14084,707,47555,464754,51.6,53920
